,name,id,tags,val/llmse_climax,dirs/ckpt_dir
78,NorESM2-LM_FGOALS-f3-L_climax_frozen_tas+pr_run-01ClimaX_adamw_4bs_0.0005lr_1e-05wd_3423seed_23h21m_on_Jun_12_k2r30b24,k2r30b24,"['NorESM2-LM_FGOALS-f3-L', 'climax_frozen', 'deprecated', 'finetuning_emulator', 'run1', 'tas+pr']",0.06531698674780036,/network/scratch/v/venkatesh.ramesh/causalpaca/emulator/checkpoints/
80,NorESM2-LM_MPI-ESM1-2-HR_climax_tas+pr_run-01ClimaX_adamw_4bs_0.0005lr_1e-05wd_22201seed_23h09m_on_Jun_12_ngaens5s,ngaens5s,"['NorESM2-LM_MPI-ESM1-2-HR', 'climax', 'deprecated', 'finetuning_emulator', 'run1', 'tas+pr']",0.06868374539049527,/network/scratch/v/venkatesh.ramesh/causalpaca/emulator/checkpoints/
82,NorESM2-LM_BCC-CSM2-MR_climax_frozen_tas+pr_run-01ClimaX_adamw_4bs_0.0005lr_1e-05wd_3423seed_22h57m_on_Jun_12_aywzm4cv,aywzm4cv,"['NorESM2-LM_BCC-CSM2-MR', 'climax_frozen', 'deprecated', 'finetuning_emulator', 'run1', 'tas+pr']",0.0657616125506755,/network/scratch/v/venkatesh.ramesh/causalpaca/emulator/checkpoints/
84,NorESM2-LM_MPI-ESM1-2-HR_climax_frozen_tas+pr_run-01ClimaX_adamw_4bs_0.0005lr_1e-05wd_7seed_22h49m_on_Jun_12_1h2q3mqi,1h2q3mqi,"['NorESM2-LM_MPI-ESM1-2-HR', 'climax_frozen', 'deprecated', 'finetuning_emulator', 'run1', 'tas+pr']",0.0655743042086718,/network/scratch/v/venkatesh.ramesh/causalpaca/emulator/checkpoints/
88,NorESM2-LM_EC-Earth3_climax_tas+pr_run-01ClimaX_adamw_4bs_0.0005lr_1e-05wd_22201seed_22h31m_on_Jun_12_ev6xnyr7,ev6xnyr7,"['NorESM2-LM_EC-Earth3', 'climax', 'deprecated', 'finetuning_emulator', 'run1', 'tas+pr']",0.06806697148143923,/network/scratch/v/venkatesh.ramesh/causalpaca/emulator/checkpoints/
92,NorESM2-LM_EC-Earth3_climax_frozen_tas+pr_run-01ClimaX_adamw_4bs_0.0005lr_1e-05wd_3423seed_22h08m_on_Jun_12_4imp5a1f,4imp5a1f,"['NorESM2-LM_EC-Earth3', 'climax_frozen', 'deprecated', 'finetuning_emulator', 'run1', 'tas+pr']",0.0655222231928268,/network/scratch/v/venkatesh.ramesh/causalpaca/emulator/checkpoints/
95,NorESM2-LM_AWI-CM-1-1-MR_climax_tas+pr_run-01ClimaX_adamw_4bs_0.0005lr_1e-05wd_22201seed_21h53m_on_Jun_12_8ci96bcs,8ci96bcs,"['NorESM2-LM_AWI-CM-1-1-MR', 'climax', 'deprecated', 'finetuning_emulator', 'run1', 'tas+pr']",0.06843291266903467,/network/scratch/v/venkatesh.ramesh/causalpaca/emulator/checkpoints/
94,NorESM2-LM_AWI-CM-1-1-MR_climax_frozen_tas+pr_run-01ClimaX_adamw_4bs_0.0005lr_1e-05wd_7seed_22h00m_on_Jun_12_fxeurp48,fxeurp48,"['NorESM2-LM_AWI-CM-1-1-MR', 'climax_frozen', 'deprecated', 'finetuning_emulator', 'run1', 'tas+pr']",0.06552616582119004,/network/scratch/v/venkatesh.ramesh/causalpaca/emulator/checkpoints/
99,NorESM2-LM_FGOALS-f3-L_unet_tas+pr_run-01UNet_adam_4bs_0.0002lr_1e-06wd_7seed_12h23m_on_Jun_12_mfn0stt1,mfn0stt1,"['NorESM2-LM_FGOALS-f3-L', 'deprecated', 'finetuning_emulator', 'run1', 'tas+pr', 'unet']",0.0614927409813079,/network/scratch/v/venkatesh.ramesh/causalpaca/emulator/checkpoints/
102,NorESM2-LM_BCC-CSM2-MR_unet_tas+pr_run-01UNet_adam_4bs_0.0002lr_1e-06wd_7seed_12h01m_on_Jun_12_sw2jdv5m,sw2jdv5m,"['NorESM2-LM_BCC-CSM2-MR', 'deprecated', 'finetuning_emulator', 'run1', 'tas+pr', 'unet']",0.05804074127092107,/network/scratch/v/venkatesh.ramesh/causalpaca/emulator/checkpoints/
