variable_id,description,table_id(s)
fDeforestToAtmos,Deforested Biomass That Goes into Atmosphere as a Result of Anthropogenic Land-Use Change [kg m-2 s-1],Emon
fDeforestToProduct,Deforested Biomass That Goes into Product Pool as a Result of Anthropogenic Land-Use Change [kg m-2 s-1],Emon
fediss,Particulate Source of Dissolved Iron [mol m-3 s-1],Oyr
fescav,Non-Biogenic Iron Scavenging [mol m-3 s-1],Oyr
fFireAll,Carbon Mass Flux into Atmosphere Due to CO2 Emission from Fire Including All Sources [kg m-2 s-1],Emon
fFire,Carbon Mass Flux into Atmosphere Due to CO2 Emission from Fire Excluding Land-Use Change [kg m-2 s-1],Lmon
fFireNat,Carbon Mass Flux into Atmosphere Due to CO2 Emission from Natural Fire [kg m-2 s-1],Emon
fg14co2abio,Surface Downward Flux of Abiotic 14CO2 [kg m-2 s-1],"Omon, Oyr"
fgcfc11,Surface Downward CFC11 Flux [mol m-2 s-1],Omon
fgcfc12,Surface Downward CFC12 Flux [mol m-2 s-1],Omon
fgco2abio,Surface Downward Flux of Abiotic CO2 [kg m-2 s-1],"Omon, Oyr"
fgco2nat,Surface Downward Flux of Natural CO2 [kg m-2 s-1],"Omon, Oyr"
fgco2,Surface Downward Flux of Total CO2 [kg m-2 s-1],"Omon, Oyr"
fgdms,Surface Upward Flux of DMS [mol m-2 s-1],Omon
fgo2,Surface Downward Flux of O2 [mol m-2 s-1],Omon
fGrazing,Carbon Mass Flux into Atmosphere Due to Grazing on Land [kg m-2 s-1],Lmon
fgsf6,Surface Downward SF6 Flux [mol m-2 s-1],Omon
fHarvest,Carbon Mass Flux into Atmosphere Due to Crop Harvesting [kg m-2 s-1],Lmon
fHarvestToAtmos,Harvested Biomass That Goes Straight into Atmosphere [kg m-2 s-1],Emon
fHarvestToProduct,Harvested Biomass That Goes into Product Pool [kg m-2 s-1],Emon
ficeberg,Water Flux into Sea Water from Icebergs [kg m-2 s-1],Omon
flandice,Water Flux into Sea Water from Land Ice [kg m-2 s-1],Emon
flashrate,Lightning Flash Rate [km-2 s-1],Emon
fldcapacity,Field Capacity [%],Efx
fLitterSoil,Total Carbon Mass Flux from Litter to Soil [kg m-2 s-1],Lmon
fLuc,Net Carbon Mass Flux into Atmosphere Due to Land-Use Change [kg m-2 s-1],Emon
fLulccAtmLut,Carbon Transferred Directly to Atmosphere Due to any Land-Use or Land-Cover Change Activities [kg m-2 s-1],Emon
fLulccProductLut,Carbon Harvested Due to Land-Use or Land-Cover Change Process That Enters Anthropogenic Product Pools on Tile [kg m-2 s-1],Emon
fLulccResidueLut,Carbon Transferred to Soil or Litter Pools Due to Land-Use or Land-Cover Change Processes on Tile [kg m-2 s-1],Emon
fN2O,Total Land N2O Flux [kg m-2 s-1],Emon
fNAnthDisturb,Nitrogen Mass Flux out of Land Due to Any Human Activity [kg m-2 s-1],Emon
fNdep,Dry and Wet Deposition of Reactive Nitrogen onto Land [kg m-2 s-1],Emon
fNfert,Total Nitrogen Added for Cropland Fertilisation (Artificial and Manure) [kg m-2 s-1],Emon
fNgasFire,"Total Nitrogen Lost to the Atmosphere (Including NHx, NOx, N2O, N2) from Fire [kg m-2 s-1]",Emon
fNgasNonFire,"Total Nitrogen Lost to the Atmosphere (Including NHx, NOx, N2O, N2) from All Processes Except Fire [kg m-2 s-1]",Emon
fNgas,"Total Nitrogen Lost to the Atmosphere (Sum of NHx, NOx, N2O, N2) [kg m-2 s-1]",Emon
fNleach,"Total Nitrogen Loss to Leaching or Runoff (Sum of Ammonium, Nitrite and Nitrate) [kg m-2 s-1]",Emon
fNLitterSoil,Total Nitrogen Mass Flux from Litter to Soil [kg m-2 s-1],Emon
fNloss,"Total Nitrogen Lost (Including NHx, NOx, N2O, N2 and Leaching) [kg m-2 s-1]",Emon
fNnetmin,Net Nitrogen Release from Soil and Litter as the Outcome of Nitrogen Immobilisation and Gross Mineralisation [kg m-2 s-1],Emon
fNProduct,Deforested or Harvested Biomass as a Result of Anthropogenic Land-Use or Change [kg m-2 s-1],Emon
fNup,Total Plant Nitrogen Uptake (Sum of Ammonium and Nitrate) Irrespective of the Source of Nitrogen [kg m-2 s-1],Emon
fNVegLitter,Total Nitrogen Mass Flux from Vegetation to Litter [kg m-2 s-1],Emon
fNVegSoil,Total Nitrogen Mass Flux from Vegetation Directly to Soil [kg m-2 s-1],Emon
fProductDecomp,Decomposition out of Product Pools to CO2 in Atmosphere [kg m-2 s-1],Emon
fProductDecompLut,Flux from Wood and Agricultural Product Pools on Land Use Tile into Atmosphere [kg m-2 s-1],Emon
fracLut,Percentage of Grid Cell for Each Land-Use Tile [%],Emon
frfe,Iron Loss to Sediments [mol m-2 s-1],Omon
fric,Downward Inorganic Carbon Flux at Ocean Bottom [mol m-2 s-1],Omon
friver,Water Flux into Sea Water from Rivers [kg m-2 s-1],Omon
frn,Nitrogen Loss to Sediments and Through Denitrification [mol m-2 s-1],Omon
froc,Downward Organic Carbon Flux at Ocean Bottom [mol m-2 s-1],Omon
fsfe,Surface Downward Net Flux of Iron [mol m-2 s-1],Omon
fsitherm,Water Flux into Sea Water Due to Sea Ice Thermodynamics [kg m-2 s-1],Omon
fsn,Surface Downward Net Flux of Nitrogen [mol m-2 s-1],Omon
fVegFire,Carbon Mass Flux from Vegetation into Atmosphere Due to CO2 Emission from All Fire [kg m-2 s-1],Emon
fVegLitterMortality,Total Carbon Mass Flux from Vegetation to Litter as a Result of Mortality [kg m-2 s-1],Emon
fVegLitterSenescence,"Total Carbon Mass Flux from Vegetation to Litter as a Result of Leaf, Branch, and Root Senescence [kg m-2 s-1]",Emon
fVegLitter,Total Carbon Mass Flux from Vegetation to Litter [kg m-2 s-1],Lmon
fVegSoil,Total Carbon Mass Flux from Vegetation Directly to Soil [kg m-2 s-1],Lmon
gppc13,Mass Flux of 13C out of Atmosphere Due to Gross Primary Production on Land [kg m-2 s-1],Emon
gppc14,Mass Flux of 14C out of Atmosphere Due to Gross Primary Production on Land [kg m-2 s-1],Emon
